,:ID,journal:string
1385,12015257,IEEE Trans. Signal Process.
1279,12015151,Mob. Networks Appl.
1123,12014995,Proces. del Leng. Natural
1666,12015538,Int. J. Metadata Semant. Ontologies
1094,12014966,J. Networks
414,12014286,Integr.
1601,12015473,Int. J. Cyber Ethics Educ.
1576,12015448,SIAM J. Control. Optim.
421,12014293,J. Stat. Theory Appl.
982,12014854,Int. J. Multim. Data Eng. Manag.
1451,12015323,ACM Trans. Manag. Inf. Syst.
560,12014432,ACM Trans. Algorithms
1006,12014878,IPSJ Trans. Comput. Vis. Appl.
1563,12015435,Simul. Model. Pract. Theory
793,12014665,Bull. dInformatique Approfondie et Appl.
705,12014577,SIAM J. Discret. Math.
194,12014066,ACM SIGPLAN Notices
846,12014718,First Monday
957,12014829,J. Cell. Autom.
1922,12015794,J. Comput. High. Educ.
1199,12015071,J. Inf. Technol. Constr.
351,12014223,Empir. Softw. Eng.
885,12014757,J. Syst. Sci. Complex.
1124,12014996,EURASIP J. Inf. Secur.
1334,12015206,IEEE Secur. Priv.
1230,12015102,IET Commun.
231,12014103,ACM Trans. Inf. Syst. Secur.
894,12014766,Comput. Lang.
87,12013959,Turkish J. Electr. Eng. Comput. Sci.
1508,12015380,Int. J. Commun. Netw. Syst. Sci.
598,12014470,EAI Endorsed Trans. Pervasive Health Technol.
406,12014278,IEEE Trans. Mol. Biol. Multi Scale Commun.
1900,12015772,Int. J. Comput. Intell. Syst.
223,12014095,Entertain. Comput.
367,12014239,Auton. Agents Multi Agent Syst.
587,12014459,Grammars
592,12014464,ACM SIGSPATIAL Special
241,12014113,Unmanned Syst.
641,12014513,Int. J. Syst. Dyn. Appl.
108,12013980,ACM Trans. Asian Lang. Inf. Process.
1820,12015692,Vis. Comput.
181,12014053,Int. J. Game Based Learn.
623,12014495,Decis. Anal.
821,12014693,Behav. Inf. Technol.
1711,12015583,Int. J. Robotics Res.
102,12013974,Real Time Imaging
1141,12015013,Trans. Assoc. Comput. Linguistics
1626,12015498,Proc. IEEE
1506,12015378,J. Vis.
375,12014247,Int. J. Cogn. Informatics Nat. Intell.
1460,12015332,Electron. Publ.
708,12014580,Eur. J. Control
48,12013920,IEEE Trans. Veh. Technol.
161,12014033,Int. J. Inf. Sec.
1645,12015517,Int. J. Appl. Metaheuristic Comput.
1394,12015266,Schedae Informaticae
1678,12015550,Int. J. Rough Sets Data Anal.
994,12014866,Open J. Semantic Web
304,12014176,Int. J. Agent Oriented Softw. Eng.
1857,12015729,AT&T Tech. J.
729,12014601,SIGART Newsl.
1338,12015210,Sci. Robotics
1714,12015586,Int. J. Simul. Process. Model.
1482,12015354,Knowl. Based Syst.
556,12014428,Int. J. Child Comput. Interact.
47,12013919,Proc. ACM Meas. Anal. Comput. Syst.
1047,12014919,Graphs Comb.
192,12014064,Int. J. Online Mark.
1908,12015780,Netw. Model. Anal. Health Informatics Bioinform.
940,12014812,SIAM/ASA J. Uncertain. Quantification
672,12014544,J. Strateg. Inf. Syst.
1422,12015294,Games
1541,12015413,Model. Assist. Stat. Appl.
1038,12014910,Comput. Manag. Sci.
966,12014838,Int. J. Geogr. Inf. Sci.
325,12014197,OOPS Messenger
321,12014193,Signal Process.
644,12014516,Int. J. Appl. Evol. Comput.
1839,12015711,J. Lond. Math. Soc.
111,12013983,Linguamática
1842,12015714,IEEE Veh. Technol. Mag.
137,12014009,J. Log. Algebraic Methods Program.
1400,12015272,Comput. Meas. Group Trans.
1556,12015428,Ecol. Informatics
1330,12015202,BMC Medical Informatics Decis. Mak.
1548,12015420,Int. J. Biom.
1876,12015748,J. Algorithms
534,12014406,Found. Trends Signal Process.
1797,12015669,Arch. Mus. Informatics
1331,12015203,IET Cyper-Phys. Syst.: Theory & Appl.
1696,12015568,J. Data Intell.
372,12014244,J. Clin. Bioinform.
1220,12015092,IEEE Trans. Multim.
1923,12015795,IEEE Commun. Lett.
1639,12015511,Commun. Res.
1429,12015301,Int. J. Serious Games
434,12014306,IEEE Commun. Mag.
1027,12014899,J. Artif. Intell. Res.
1423,12015295,Multiscale Model. Simul.
1616,12015488,IEEE Des. Test
1623,12015495,Digit. Appl. Archaeol. Cult. Heritage
1681,12015553,Int. J. Data Min. Bioinform.
56,12013928,Risk Decis. Anal.
120,12013992,IEEE J. Solid State Circuits
190,12014062,J. Integr. Des. Process. Sci.
571,12014443,Aslib J. Inf. Manag.
1574,12015446,Inf. Serv. Use
